t,d,v,a,l,sens_slope,mk_p,mk_S,tendencia,n_anios_val,NDVI_2017,NDVI_2018,NDVI_2019,NDVI_2020,NDVI_2021,NDVI_2022,NDVI_2023,NDVI_2024
156,rocha,1,0,2350,0.001321,0.22956,9,estable,7,0.05216,,0.05317,0.06744,0.06478,0.05713,0.06882,0.06066
157,rocha,1,0,1430,-0.000348,0.54801,-5,estable,7,0.06855,,0.05341,0.06751,0.06349,0.06057,0.06746,0.06062
158,rocha,1,0,1604,0.002959,0.22956,9,estable,7,0.00578,,0.05299,0.06367,0.04926,0.05717,0.06483,0.0569
159,rocha,1,0,1016,0.015666,0.07151,13,estable,7,-0.0467,,-0.08058,0.0003,-0.05192,0.04895,0.02418,0.057
160,rocha,1,0,2129,-0.003598,0.76389,-3,estable,7,-0.15429,,-0.20546,-0.1786,-0.20185,-0.19309,-0.18939,-0.19348
161,rocha,1,0,2106,0.013824,0.0355,15,mejora,7,0.01402,,-0.01177,-0.00604,0.01787,0.05208,0.04392,0.05934
162,rocha,1,0,1129,0.003662,0.54801,5,estable,7,0.06431,,0.03801,0.04089,0.03675,0.049,0.05648,0.05714
163,rocha,1,0,258,-0.000994,1.0,-1,estable,7,-0.00137,,0.06829,0.06448,0.06049,0.05331,0.0565,0.0605
164,rocha,1,0,287,-0.001017,0.76389,-3,estable,7,0.07619,,0.06403,0.06843,0.0609,0.06434,0.06449,0.06436
165,rocha,1,0,1796,-0.000109,0.22956,-9,estable,7,0.0668,,0.06644,0.07229,0.06473,0.06612,0.06638,0.06592
166,rocha,1,0,1160,-0.001958,0.13313,-11,estable,7,0.08413,,0.08021,0.08393,0.07211,0.07228,0.07185,0.0761
167,rocha,1,1,953,-0.000658,0.53619,-6,estable,8,0.04912,0.05287,0.04485,0.05307,0.04517,0.04153,0.04515,0.04895
168,rocha,1,1,2705,-0.009754,0.01626,-17,degradacion,7,,0.05097,0.04316,0.04887,0.02171,0.01715,-0.0646,-0.0042
169,rocha,1,0,1029,0.003809,0.54801,5,estable,7,,0.00887,-0.02541,0.03084,0.0304,0.0241,-0.00738,0.03355
170,rocha,1,0,1951,-3.2e-05,0.76389,-3,estable,7,,0.04524,0.02966,0.05375,0.04405,0.03812,0.04399,0.04404
171,rocha,1,0,4699,-0.000268,0.76389,-3,estable,7,,0.04907,0.02945,0.04792,0.04593,0.04204,0.04899,0.04513
172,rocha,1,0,1937,0.000372,0.76389,3,estable,7,,0.05801,0.043,0.05827,0.05651,0.05265,0.06044,0.05762
173,rocha,1,2,2002,0.021242,0.01626,17,mejora,7,,-0.11319,-0.00388,-0.041,0.002,0.04129,0.04098,0.04397
174,rocha,1,2,908,0.001995,0.00686,19,estable,7,,0.05853,0.05112,0.05882,0.05896,0.0663,0.06644,0.0668
175,rocha,1,0,1259,-7.4e-05,1.0,-1,estable,7,,0.04385,0.04326,0.0504,0.05106,0.05092,0.04348,0.04331
176,rocha,1,0,1334,0.000426,0.36752,7,estable,7,,0.05839,0.05087,0.04263,0.05172,0.05092,0.05838,0.05843
177,rocha,1,0,3177,0.018119,0.0355,15,mejora,7,,-0.09577,-0.02546,0.00972,-0.04142,0.04106,0.02948,0.04502
178,rocha,1,0,585,0.008192,0.13313,11,estable,7,,-0.03811,0.01737,-0.02586,-0.07282,0.04195,0.03699,0.04478
179,rocha,1,1,1850,0.012743,0.07151,13,estable,7,,-0.06018,-0.00208,-0.00911,-0.04588,0.03615,0.03028,0.03805
181,rocha,3,0,1035,0.00446,0.76389,3,estable,7,,-0.00301,0.03669,0.02924,0.01037,0.05888,-0.00471,0.05085
182,rocha,1,0,396,0.003427,0.36752,7,estable,7,,0.03225,-0.04127,0.04565,-0.00557,0.04883,0.04939,0.02543
183,rocha,3,0,1096,0.016793,0.07151,13,estable,7,,-0.05986,-0.05075,0.02559,-0.01821,0.04126,0.0214,0.0409
184,rocha,1,0,13653,0.002196,0.36752,7,estable,7,,0.02793,0.02772,0.0439,0.04119,0.04508,0.04506,0.04111
185,rocha,3,0,1063,0.001542,0.54801,5,estable,7,,0.05133,0.07479,0.06564,0.05856,0.08178,0.05904,0.0662
186,rocha,1,0,3633,0.000129,0.22956,9,estable,7,,0.04335,0.03536,0.04316,0.03589,0.04363,0.04331,0.04368
187,rocha,3,0,833,0.009166,0.13313,11,estable,7,,-0.01799,0.0189,0.02807,0.00438,0.05319,0.05161,0.04332
188,rocha,1,0,1759,0.002574,0.22956,9,estable,7,,0.02793,0.02838,0.04364,0.02841,0.04373,0.04347,0.04337
189,rocha,3,0,485,0.012183,0.22956,9,estable,7,,-0.08646,-0.0184,-0.0222,-0.05983,0.00574,-0.02554,0.02895
190,rocha,1,0,926,0.001631,0.22956,9,estable,7,,0.04307,0.02872,0.05187,0.04388,0.04426,0.05123,0.05079
191,rocha,3,0,414,-0.001277,0.76389,-3,estable,7,,0.01108,0.01839,0.04476,-0.0512,0.01313,-0.00114,0.01201
192,rocha,1,0,3997,0.000612,0.54801,5,estable,7,,0.04357,0.0355,0.05092,0.04364,0.05082,0.05143,0.04332
